,GEOIDFQ,B02018_017E,B02018_018E,B02018_015E,B02018_016E,B02018_019E,B02018_012E,B02018_013E,B02018_014E,B02018_010E,B02018_011E,B02018_005E,B02018_006E,B02018_003E,B02018_004E,B02018_009E,B02018_007E,B02018_008E,B02018_002E,B02018_020E
0,0500000US01001,0,36,0,0,0,305,0,0,0,0,160,0,0,233,0,0,0,199,0
1,0500000US01003,0,307,52,0,240,1086,170,137,0,0,303,0,0,398,0,0,6,640,0
2,0500000US01005,0,0,0,0,5,7,0,0,0,0,48,0,0,16,0,0,0,47,0
3,0500000US01007,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
4,0500000US01009,0,0,0,0,0,246,0,0,0,0,7,0,0,0,0,0,5,1,0
5,0500000US01011,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0500000US01013,0,0,0,0,0,17,0,0,0,0,42,0,0,43,0,0,0,0,0
7,0500000US01015,0,119,0,0,107,303,57,52,0,0,364,0,0,99,0,0,0,263,0
8,0500000US01017,0,0,0,0,0,52,0,0,0,0,156,0,0,70,0,0,0,7,0
9,0500000US01019,0,0,0,0,27,6,0,0,0,6,0,0,0,0,0,0,0,0,0
10,0500000US01021,0,0,0,0,0,0,0,0,0,0,54,0,0,56,0,0,0,41,0
11,0500000US01023,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,4,0
12,0500000US01025,0,0,0,0,0,63,0,0,0,0,0,0,0,6,0,0,0,45,0
13,0500000US01027,0,0,0,0,4,60,0,0,41,0,0,0,0,0,0,0,0,0,0
14,0500000US01029,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0
15,0500000US01031,0,118,9,0,135,192,14,2,0,0,630,0,0,268,0,0,0,117,0
16,0500000US01033,0,157,0,0,0,160,0,0,0,0,217,0,0,111,0,0,0,34,0
17,0500000US01035,0,0,0,0,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0500000US01037,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
19,0500000US01039,0,0,0,0,4,21,0,0,0,0,76,0,0,84,0,0,0,10,0
20,0500000US01041,0,0,0,0,0,63,0,0,0,0,129,0,0,0,0,0,0,0,0
21,0500000US01043,0,7,0,0,225,326,0,0,0,15,17,0,0,75,0,0,0,46,0
22,0500000US01045,0,63,0,0,61,270,0,12,0,132,182,0,0,192,0,0,8,139,0
23,0500000US01047,0,0,0,0,91,0,0,0,0,0,7,0,0,0,0,0,0,5,0
24,0500000US01049,0,0,0,0,54,136,0,0,0,0,0,33,0,13,0,0,0,0,0
25,0500000US01051,0,73,0,0,0,411,0,0,0,0,64,0,0,163,4,0,0,9,0
26,0500000US01053,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,72,0
27,0500000US01055,0,0,0,0,126,288,0,0,0,90,17,0,0,111,0,0,4,160,0
28,0500000US01057,0,0,0,0,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0500000US01059,0,4,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,58,0
30,0500000US01061,0,0,0,0,0,49,0,0,0,0,153,0,0,0,0,0,0,0,0
31,0500000US01063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0500000US01065,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,180,0
33,0500000US01067,0,12,0,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,0
34,0500000US01069,0,37,0,0,234,363,20,2,29,20,165,0,0,154,0,0,6,217,0
35,0500000US01071,0,37,0,0,81,135,0,0,0,0,33,0,0,39,0,8,0,32,0
36,0500000US01073,0,553,260,0,907,1013,37,42,8,0,1701,0,20,647,0,0,287,3444,0
37,0500000US01075,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0500000US01077,0,0,0,0,81,246,0,0,0,23,81,0,0,174,0,0,0,185,0
39,0500000US01079,0,0,0,0,67,44,0,0,0,0,73,0,0,32,0,0,0,0,0
40,0500000US01081,0,107,6,0,423,466,37,76,0,0,3559,0,0,357,0,0,29,2039,0
41,0500000US01083,0,0,0,0,149,532,12,0,0,15,475,0,0,247,0,0,0,542,0
42,0500000US01085,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0500000US01087,0,12,0,0,11,0,0,0,0,0,2,0,0,3,0,0,0,0,0
44,0500000US01089,0,557,0,0,1403,1937,266,279,0,72,2423,62,54,1264,0,0,200,2864,0
45,0500000US01091,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0
46,0500000US01093,0,0,0,0,0,53,0,0,0,0,61,0,0,0,0,0,0,0,0
47,0500000US01095,0,8,0,0,139,157,0,0,9,0,104,0,0,38,0,1,0,232,0
48,0500000US01097,0,239,80,0,4210,1655,45,552,0,640,494,0,26,357,0,3,39,1694,0
49,0500000US01099,0,0,0,0,0,89,0,0,0,0,25,0,0,0,0,0,0,14,0
50,0500000US01101,0,108,0,0,496,482,6,193,14,0,3942,0,0,372,0,0,156,992,0
51,0500000US01103,0,152,0,0,119,304,63,153,0,0,212,0,0,16,0,0,0,55,0
