County,Total Groups Tallied: Estimate,Total Groups Tallied: Margin of Error,East Asian: Estimate,East Asian: Margin of Error,"Chinese, except Taiwanese Estimate","Chinese, except Taiwanese Margin of Error",Hmong Estimate,Hmong Margin of Error,Japanese Estimate,Japanese Margin of Error,Korean Estimate,Korean Margin of Error,Mongolian Estimate,Mongolian Margin of Error,Okinawan Estimate,Okinawan Margin of Error,Taiwanese Estimate,Taiwanese Margin of Error,Other East Asian Estimate,Other East Asian Margin of Error,Southeast Asian: Estimate,Southeast Asian: Margin of Error,Burmese Estimate,Burmese Margin of Error,Cambodian Estimate,Cambodian Margin of Error,Filipino Estimate,Filipino Margin of Error,Indonesian Estimate,Indonesian Margin of Error,Laotian Estimate,Laotian Margin of Error,Malaysian Estimate,Malaysian Margin of Error,Mien Estimate,Mien Margin of Error,Singaporean Estimate,Singaporean Margin of Error,Thai Estimate,Thai Margin of Error,Vietnamese Estimate,Vietnamese Margin of Error,Other Southeast Asian Estimate,Other Southeast Asian Margin of Error
"Abbeville County, South Carolina",58.0,80,,,0.0,26,0.0,26,5.0,10,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,,,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,4.0,7,2.0,6,0.0,26
"Acadia Parish, Louisiana",286.0,89,,,40.0,47,0.0,33,38.0,50,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,,,0.0,33,0.0,33,21.0,28,84.0,79,21.0,36,0.0,33,0.0,33,0.0,33,0.0,33,39.0,34,0.0,33
"Accomack County, Virginia",334.0,19,,,53.0,37,0.0,28,0.0,28,4.0,11,0.0,28,0.0,28,118.0,92,0.0,28,,,0.0,28,0.0,28,73.0,69,35.0,81,4.0,10,0.0,28,0.0,28,0.0,28,11.0,21,14.0,24,0.0,28
"Ada County, Idaho",24581.0,840,,,3920.0,686,9.0,15,5234.0,860,2733.0,516,12.0,20,27.0,37,178.0,132,0.0,29,,,159.0,142,99.0,71,4485.0,893,242.0,176,897.0,444,66.0,67,0.0,29,40.0,41,571.0,302,1416.0,363,72.0,99
"Adair County, Iowa",49.0,44,,,0.0,15,0.0,15,5.0,9,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,41.0,38,3.0,6,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Adair County, Kentucky",57.0,51,,,0.0,20,0.0,20,0.0,20,19.0,24,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,27.0,41,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Adair County, Missouri",878.0,76,,,241.0,127,0.0,22,43.0,53,177.0,144,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,119.0,77,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,81.0,68,0.0,22
"Adair County, Oklahoma",270.0,14,,,23.0,29,134.0,66,0.0,16,2.0,4,0.0,16,0.0,16,0.0,16,9.0,13,,,0.0,16,0.0,16,7.0,9,0.0,16,1.0,3,0.0,16,0.0,16,0.0,16,0.0,16,93.0,68,0.0,16
"Adams County, Colorado",30837.0,954,,,4303.0,739,2517.0,874,2206.0,520,2476.0,516,0.0,31,0.0,31,131.0,103,0.0,31,,,1283.0,519,649.0,335,4119.0,881,357.0,204,600.0,324,35.0,30,0.0,31,0.0,31,594.0,277,5449.0,895,0.0,31
"Adams County, Idaho",3.0,5,,,0.0,12,0.0,12,3.0,5,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,,,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12
"Adams County, Illinois",882.0,76,,,80.0,59,0.0,29,40.0,31,103.0,78,0.0,29,0.0,29,6.0,9,0.0,29,,,0.0,29,0.0,29,375.0,187,14.0,30,23.0,32,0.0,29,0.0,29,0.0,29,11.0,21,115.0,134,0.0,29
"Adams County, Indiana",187.0,31,,,1.0,3,0.0,27,20.0,31,103.0,74,0.0,27,0.0,27,0.0,27,0.0,27,,,0.0,27,0.0,27,9.0,21,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,45.0,66,0.0,27
"Adams County, Iowa",4.0,7,,,4.0,7,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Adams County, Mississippi",153.0,183,,,139.0,183,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,,,0.0,26,0.0,26,8.0,13,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26
"Adams County, Nebraska",492.0,24,,,37.0,39,0.0,22,58.0,47,33.0,26,0.0,22,0.0,22,0.0,22,0.0,22,,,12.0,19,0.0,22,65.0,77,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,12.0,23,209.0,121,0.0,22
"Adams County, North Dakota",30.0,23,,,10.0,13,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,5.0,8,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Adams County, Ohio",139.0,3,,,0.0,24,0.0,24,0.0,24,1.0,3,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,44.0,45,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Adams County, Pennsylvania",1370.0,55,,,303.0,92,0.0,27,49.0,49,53.0,42,0.0,27,0.0,27,4.0,6,0.0,27,,,0.0,27,0.0,27,252.0,99,35.0,55,0.0,27,0.0,27,0.0,27,0.0,27,27.0,31,177.0,96,0.0,27
"Adams County, Washington",256.0,69,,,16.0,28,0.0,25,1.0,9,54.0,75,0.0,25,0.0,25,0.0,25,0.0,25,,,0.0,25,0.0,25,118.0,126,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,51.0,47,0.0,25
"Adams County, Wisconsin",194.0,9,,,9.0,11,28.0,32,6.0,8,2.0,4,0.0,18,0.0,18,0.0,18,0.0,18,,,0.0,18,0.0,18,25.0,26,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,13.0,16,74.0,44,0.0,18
"Addison County, Vermont",1114.0,79,,,452.0,108,0.0,22,131.0,79,114.0,71,0.0,22,0.0,22,20.0,25,0.0,22,,,0.0,22,0.0,22,142.0,70,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,42.0,56,76.0,49,0.0,22
"Adjuntas Municipio, Puerto Rico",0.0,24,,,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Aguada Municipio, Puerto Rico",44.0,52,,,18.0,28,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,,,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32
"Aguadilla Municipio, Puerto Rico",26.0,31,,,8.0,13,0.0,35,0.0,35,18.0,29,0.0,35,0.0,35,0.0,35,0.0,35,,,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35
"Aguas Buenas Municipio, Puerto Rico",28.0,45,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Aibonito Municipio, Puerto Rico",14.0,22,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Aiken County, South Carolina",3087.0,450,,,353.0,199,6.0,11,917.0,571,152.0,94,0.0,33,0.0,33,92.0,101,0.0,33,,,0.0,33,0.0,33,383.0,199,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,84.0,97,421.0,262,0.0,33
"Aitkin County, Minnesota",103.0,12,,,5.0,6,0.0,15,18.0,15,27.0,18,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,5.0,4,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,10.0,8,3.0,5,0.0,15
"Alachua County, Florida",21631.0,635,,,5223.0,933,0.0,35,878.0,347,1875.0,546,0.0,35,0.0,35,258.0,190,0.0,35,,,0.0,35,41.0,46,4260.0,810,305.0,244,28.0,42,38.0,66,0.0,35,0.0,35,18.0,29,1578.0,487,0.0,35
"Alamance County, North Carolina",4209.0,298,,,514.0,209,22.0,38,146.0,99,468.0,215,0.0,32,0.0,32,36.0,47,0.0,32,,,195.0,167,2.0,4,326.0,210,16.0,24,170.0,204,41.0,65,0.0,32,0.0,32,175.0,122,348.0,221,0.0,32
